日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
201902200800,2777.8,2777.8,2776.5,2777,2778.1,2778.1,2776.8,2777.3
201902200801,2777,2777,2776,2776.1,2777.3,2777.6,2776.5,2776.5
201902200802,2776.2,2776.9,2776.2,2776.8,2776.5,2777.2,2776.5,2777.2
201902200803,2776.8,2777,2776.7,2777,2777.2,2777.3,2777,2777.3
201902200804,2777,2777.5,2777,2777,2777.3,2777.8,2777.3,2777.3
201902200805,2777,2777.8,2777,2777.8,2777.3,2778.1,2777.3,2778.1
201902200806,2777.7,2777.7,2776.7,2776.9,2778,2778,2777.3,2777.3
201902200807,2776.9,2777.5,2776.8,2777.2,2777.3,2777.8,2777.3,2777.5
201902200808,2777.2,2777.5,2776.9,2777.5,2777.5,2777.8,2777.3,2777.8
201902200809,2777.5,2777.5,2777.2,2777.3,2777.8,2777.8,2777.6,2777.7
201902200810,2777.5,2777.7,2777.5,2777.7,2777.9,2778,2777.9,2778
201902200811,2777.7,2777.9,2777.5,2777.5,2778,2778.3,2777.8,2777.8
201902200812,2777.5,2777.5,2777.2,2777.3,2777.8,2777.8,2777.7,2777.7
201902200813,2777.2,2777.7,2777.2,2777.7,2777.6,2778.1,2777.6,2778
201902200814,2777.7,2777.7,2777.4,2777.5,2778,2778,2777.7,2777.8
201902200815,2777.5,2777.5,2777,2777.2,2777.8,2777.8,2777.4,2777.5
201902200816,2777.2,2777.4,2777,2777.4,2777.5,2777.7,2777.5,2777.7
201902200817,2777.4,2777.7,2777.4,2777.5,2777.7,2778,2777.7,2777.9
201902200818,2777.5,2778,2777.5,2777.8,2777.9,2778.3,2777.9,2778.1
201902200819,2777.8,2777.9,2777.7,2777.8,2778.1,2778.3,2778.1,2778.1
201902200820,2777.8,2777.9,2777.7,2777.7,2778.1,2778.2,2778,2778
201902200821,2777.7,2778.1,2777.7,2778.1,2778,2778.5,2778,2778.5
201902200822,2778.1,2778.2,2778,2778.1,2778.5,2778.5,2778.3,2778.4
201902200823,2778.1,2778.5,2777.9,2778.3,2778.4,2778.8,2778.2,2778.6
201902200824,2778.3,2778.3,2778.3,2778.3,2778.6,2778.6,2778.6,2778.6
201902200825,2778.2,2778.5,2778,2778.5,2778.5,2778.8,2778.5,2778.8
201902200826,2778.5,2778.5,2778.2,2778.3,2778.8,2778.8,2778.6,2778.7
201902200827,2778.3,2778.6,2778.2,2778.4,2778.7,2778.9,2778.6,2778.7
201902200828,2778.4,2778.5,2778.4,2778.5,2778.7,2778.8,2778.7,2778.8
201902200829,2778.5,2778.5,2778.2,2778.4,2778.8,2778.8,2778.6,2778.7
201902200830,2778.4,2778.4,2778.2,2778.2,2778.7,2778.8,2778.6,2778.8
201902200831,2778.2,2778.5,2778.2,2778.5,2778.8,2778.8,2778.7,2778.8
201902200832,2778.5,2778.5,2778.5,2778.5,2778.8,2778.8,2778.8,2778.8
201902200833,2778.5,2778.5,2778.5,2778.5,2778.8,2778.8,2778.8,2778.8
201902200834,2778.5,2778.5,2778.5,2778.5,2778.8,2778.8,2778.8,2778.8
201902200835,2778.5,2778.5,2778.5,2778.5,2778.8,2778.8,2778.8,2778.8
201902200836,2778.5,2778.7,2778.5,2778.7,2778.8,2779,2778.8,2779
201902200837,2778.6,2778.7,2778.6,2778.7,2778.9,2779,2778.9,2779
201902200838,2778.7,2778.8,2778.7,2778.8,2779,2779.2,2779,2779.1
201902200839,2778.8,2778.9,2778.7,2778.8,2779.1,2779.3,2779.1,2779.1
201902200840,2778.8,2778.8,2778.8,2778.8,2779.1,2779.2,2779.1,2779.1
201902200841,2778.8,2778.8,2778.8,2778.8,2779.1,2779.1,2779.1,2779.1
201902200842,2778.8,2778.8,2778.5,2778.5,2779.1,2779.1,2778.8,2779
201902200843,2778.5,2778.7,2778.5,2778.5,2779,2779,2778.8,2778.8
201902200844,2778.6,2778.6,2778.5,2778.5,2778.9,2778.9,2778.8,2778.8
201902200845,2778.5,2778.6,2778.5,2778.5,2778.8,2778.9,2778.8,2778.8
201902200846,2778.5,2778.8,2778.5,2778.8,2778.8,2779.3,2778.8,2779.1
201902200847,2778.8,2778.8,2778.5,2778.5,2779.1,2779.2,2778.8,2778.8
201902200848,2778.6,2778.6,2778.4,2778.4,2778.9,2779,2778.7,2778.7
201902200849,2778.4,2778.7,2778.4,2778.7,2778.7,2779,2778.7,2779
201902200850,2778.7,2778.7,2778.5,2778.5,2779,2779,2778.8,2778.8
201902200851,2778.5,2778.5,2778.2,2778.3,2778.8,2778.8,2778.6,2778.6
201902200852,2778.2,2778.2,2778.1,2778.1,2778.5,2778.5,2778.4,2778.4
201902200853,2778.2,2778.2,2778,2778.2,2778.5,2778.5,2778.3,2778.5
201902200854,2778.2,2778.3,2778,2778.3,2778.5,2778.6,2778.5,2778.6
201902200855,2778.3,2778.3,2778,2778.2,2778.6,2778.6,2778.5,2778.5
201902200856,2778.2,2778.2,2778,2778.2,2778.5,2778.6,2778.3,2778.5
201902200857,2778.2,2778.3,2778.2,2778.3,2778.5,2778.6,2778.5,2778.6
201902200858,2778.3,2778.3,2778.2,2778.2,2778.6,2778.8,2778.5,2778.5
201902200859,2778.2,2778.2,2778,2778.2,2778.5,2778.8,2778.4,2778.8
201902200900,2778.2,2778.5,2778.2,2778.5,2778.8,2778.8,2778.5,2778.8
201902200901,2778.5,2778.7,2778.4,2778.7,2778.8,2779.3,2778.7,2779.3
201902200902,2778.7,2779.1,2778.7,2778.7,2779.3,2779.5,2779.1,2779.2
